protoudp,dportWell-known,dportUnspecified,dportRegistered,dportDynamic/Private,sportWell-known,sportUnspecified,sportRegistered,sportDynamic/Private,prototcp,protorarp,protoigmp,protoicmp,protoarp,dur,pkts,bytes,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.001045,2,120,1,1,60,60,1913.8755980861245,956.9377990430622,956.9377990430622,1,4
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.4e-05,2,120,1,1,60,60,142857.14285714287,71428.57142857143,71428.57142857143,1,3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,2.343193,2,120,2,0,120,0,0.8535361790514056,0.8535361790514056,0.0,1,2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,2.352732,2,120,2,0,120,0,0.8500755717183257,0.8500755717183257,0.0,1,2
0,1,0,0,0,0,0,0,1,1,0,0,0,0,26.884951,10,1538,6,4,772,766,0.3719552994535865,0.2231731796721519,0.1487821197814346,1,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,4.833962,2,120,2,0,120,0,0.4137392888069869,0.4137392888069869,0.0,1,2
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.000624,2,120,1,1,60,60,3205.128205128205,1602.5641025641023,1602.5641025641023,1,3
0,1,0,0,0,0,0,1,0,1,0,0,0,0,6.4e-05,2,120,1,1,60,60,31250.0,15625.0,15625.0,1,4
1,1,0,0,0,0,0,0,1,0,0,0,0,0,5.180052,2,120,2,0,120,0,0.3860965102280826,0.3860965102280826,0.0,1,2
1,0,0,1,0,0,0,1,0,0,0,0,0,0,2e-06,1,60,1,0,60,0,500000.0,500000.0,0.0,1,3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.007345,2,172,1,1,86,86,272.2940776038121,136.14703880190606,136.14703880190606,0,0
0,1,0,0,0,0,0,0,1,1,0,0,0,0,6.827854,8,1716,5,3,1016,700,1.1716712161683598,0.7322945101052248,0.4393767060631349,1,1
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.3e-05,2,120,1,1,60,60,153846.15384615384,76923.07692307692,76923.07692307692,1,3
0,1,0,0,0,0,0,0,1,1,0,0,0,0,37.127575,10,1655,6,4,889,766,0.2693415877551927,0.1616049526531156,0.1077366351020771,1,1
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.000212,2,120,1,1,60,60,9433.962264150943,4716.981132075472,4716.981132075472,1,3
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.00411,2,120,1,1,60,60,486.61800486618006,243.30900243309003,243.30900243309003,1,4
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.000178,2,120,1,1,60,60,11235.955056179777,5617.977528089888,5617.977528089888,1,4
0,1,0,0,0,0,0,0,1,1,0,0,0,0,124.968506,10,2273,6,4,877,1396,0.0800201612396646,0.0480120967437987,0.0320080644958658,1,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,7.688453,4,240,4,0,240,0,0.5202607078433074,0.5202607078433074,0.0,1,2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,7.68102,4,240,4,0,240,0,0.5207641693420926,0.5207641693420926,0.0,1,2
0,1,0,0,0,0,0,0,1,1,0,0,0,0,5e-05,2,120,1,1,60,60,40000.0,20000.0,20000.0,1,3
0,0,0,1,0,0,0,1,0,1,0,0,0,0,9e-05,2,120,1,1,60,60,22222.222222222223,11111.111111111111,11111.111111111111,1,4
0,1,0,0,0,0,0,0,1,1,0,0,0,0,37.729279,10,2245,6,4,849,1396,0.2650461462568633,0.1590276877541179,0.1060184585027453,1,1
1,1,0,0,0,0,0,0,1,0,0,0,0,0,5.040121,2,176,2,0,176,0,0.3968158700951822,0.3968158700951822,0.0,0,0
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.000379,2,120,1,1,60,60,5277.0448548812665,2638.522427440633,2638.522427440633,1,3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,4.832442,2,120,2,0,120,0,0.4138694266790992,0.4138694266790992,0.0,1,2
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.005619,2,120,1,1,60,60,355.93521978999826,177.96760989499913,177.96760989499913,1,4
1,1,0,0,0,0,0,1,0,0,0,0,0,0,4.831661,2,120,2,0,120,0,0.4139363254168701,0.4139363254168701,0.0,1,2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,4.831662,2,120,2,0,120,0,0.4139362397452471,0.4139362397452471,0.0,1,2
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.003618,2,120,1,1,60,60,552.791597567717,276.3957987838585,276.3957987838585,1,4
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1.148122,2,684,2,0,684,0,1.7419751559503258,1.7419751559503258,0.0,1,4
0,0,0,1,0,0,0,1,0,1,0,0,0,0,8.7e-05,2,120,1,1,60,60,22988.50574712644,11494.25287356322,11494.25287356322,1,3
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.000151,2,120,1,1,60,60,13245.03311258278,6622.51655629139,6622.51655629139,1,4
1,1,0,0,0,0,0,1,0,0,0,0,0,0,7.685558,4,240,4,0,240,0,0.5204566799183612,0.5204566799183612,0.0,1,2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,5.047859,2,176,2,0,176,0,0.3962075802830467,0.3962075802830467,0.0,0,0
0,1,0,0,0,0,0,0,1,1,0,0,0,0,89.447502,10,2193,6,4,797,1396,0.1117974205696655,0.0670784523417993,0.0447189682278662,1,1
0,0,0,1,0,0,0,1,0,1,0,0,0,0,4.1e-05,2,120,1,1,60,60,48780.487804878045,24390.243902439022,24390.243902439022,1,4
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.000115,2,120,1,1,60,60,17391.304347826088,8695.652173913044,8695.652173913044,1,4
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.00022,2,120,1,1,60,60,9090.90909090909,4545.454545454545,4545.454545454545,1,4
0,1,0,0,0,0,0,0,1,1,0,0,0,0,17.992453,10,2174,6,4,778,1396,0.5557885853585389,0.3334731512151233,0.2223154341434155,1,1
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.000125,2,120,1,1,60,60,16000.0,8000.0,8000.0,1,4
0,1,0,0,0,0,0,1,0,1,0,0,0,0,31.732004,10,1581,6,4,815,766,0.3151392518417683,0.189083551105061,0.1260557007367073,1,1
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.000133,2,120,1,1,60,60,15037.593984962405,7518.796992481202,7518.796992481202,1,4
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.231402,2,1295,1,1,82,1213,8.642967649372089,4.3214838246860445,4.3214838246860445,0,0
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.4e-05,2,120,1,1,60,60,142857.14285714287,71428.57142857143,71428.57142857143,1,3
0,0,0,1,0,0,0,1,0,1,0,0,0,0,25.0275,20,9732,10,10,9072,660,0.79912096693637,0.399560483468185,0.399560483468185,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,0,5.047795,2,176,2,0,176,0,0.3962126037210307,0.3962126037210307,0.0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.007611,2,172,1,1,86,86,262.7775587964788,131.3887793982394,131.3887793982394,0,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.003122,2,120,1,1,60,60,640.6149903907751,320.3074951953876,320.3074951953876,1,4
1,0,0,0,1,0,0,1,0,0,0,0,0,0,3.5e-05,1,60,1,0,60,0,28571.42857142857,28571.42857142857,0.0,1,3
1,1,0,0,0,1,0,0,0,0,0,0,0,0,47.339222,1940,116400,1940,0,116400,0,40.98081713298964,40.98081713298964,0.0,0,0
0,1,0,0,0,0,0,0,1,1,0,0,0,0,99.260902,10,1607,6,4,841,766,0.1007446013335643,0.0604467608001386,0.0402978405334257,1,1
0,0,0,1,0,0,0,0,1,1,0,0,0,0,9.8e-05,2,120,1,1,60,60,20408.163265306124,10204.081632653062,10204.081632653062,1,3
0,1,0,0,0,0,0,0,1,1,0,0,0,0,15.526441,10,1723,6,4,957,766,0.6440626026273504,0.3864375615764102,0.2576250410509401,1,1
1,1,0,0,0,0,0,0,1,0,0,0,0,0,5.047935,2,176,2,0,176,0,0.396201615115884,0.396201615115884,0.0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,8.249352,4,240,4,0,240,0,0.4848865704845665,0.4848865704845665,0.0,1,2
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.000116,2,120,1,1,60,60,17241.379310344826,8620.689655172413,8620.689655172413,1,4
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.001036,2,120,1,1,60,60,1930.5019305019305,965.2509652509652,965.2509652509652,1,4
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.005671,2,120,1,1,60,60,352.6714865103157,176.33574325515784,176.33574325515784,1,4
